,participant,valence_diff,arousal_diff,mood_valence,mood_arousal,age,race,gender,key
6308,106,-0.0897009966777409,-0.5780730897009967,0.0,0.0,77,Caucasian (or White),Male,0
6309,299,0.5780730897009967,-1.318936877076412,1.0,-2.0,32,African American (or Black),Male,0
6310,30,0.8471760797342194,-0.3953488372093026,-2.0,1.0,36,Caucasian (or White),Male,1
6311,174,-1.8903654485049837,-0.4950166112956813,0.0,1.0,27,Caucasian (or White),Male,1
6312,73,-0.5681063122923589,-0.3156146179401995,2.0,2.0,66,Caucasian (or White),Male,1
6313,78,0.0564784053156146,0.1993355481727574,-2.0,-2.0,24,Caucasian (or White),Female,1
6314,48,1.4916943521594683,-1.5780730897009967,1.0,0.0,52,Caucasian (or White),Female,1
6315,234,0.9003322259136213,-1.1860465116279073,0.0,0.0,48,Caucasian (or White),Male,0
6316,117,0.4053156146179399,-0.2093023255813957,0.0,0.0,41,Asian American (or Pacific Islander),Female,0
6317,276,-1.913621262458472,-0.3853820598006647,0.0,0.0,43,Caucasian (or White),Female,0
6318,40,0.1827242524916945,0.7541528239202662,0.0,-1.0,57,Caucasian (or White),Female,0
6319,262,1.4385382059800662,0.5747508305647839,0.0,-1.0,19,Caucasian (or White),Male,1
6320,133,-1.4485049833887045,-0.787375415282392,-1.0,0.0,73,Caucasian (or White),Male,0
6321,125,1.0598006644518274,-1.2259136212624586,0.0,0.0,32,Caucasian (or White),Male,0
6322,211,-0.1694352159468439,1.3754152823920265,0.0,0.0,26,Caucasian (or White),Female,1
6323,194,-0.6843853820598009,0.5116279069767442,1.0,2.0,42,Caucasian (or White),Male,0
6324,292,1.0232558139534884,0.1129568106312293,-1.0,-1.0,39,Asian American (or Pacific Islander),Female,1
6325,258,1.1528239202657806,-0.0598006644518269,0.0,0.0,75,African,Male,0
6326,136,1.079734219269103,-0.4684385382059797,0.0,0.0,57,African American (or Black),Female,0
6327,50,1.0996677740863787,-0.388704318936877,-1.0,0.0,45,Caucasian (or White),Male,0
6328,235,-0.0664451827242524,1.441860465116279,2.0,2.0,66,Caucasian (or White),Male,1
6329,172,0.794019933554817,-0.1694352159468439,1.0,0.0,49,Asian American (or Pacific Islander),Female,0
6330,31,-0.1295681063122922,-1.4119601328903657,1.0,0.0,25,Caucasian (or White),Female,0
6331,212,0.913621262458472,-0.1229235880398671,-2.0,-1.0,55,Asian American (or Pacific Islander),Male,0
6332,49,0.9667774086378738,0.1893687707641196,2.0,2.0,46,Caucasian (or White),Female,1
6333,201,-1.0099667774086378,0.591362126245847,0.0,0.0,45,Prefer not to answer,Would prefer not to answer,1
6334,152,0.4019933554817276,-0.1395348837209304,2.0,1.0,58,Caucasian (or White),Female,1
6335,298,0.2159468438538203,-0.2225913621262458,0.0,-1.0,25,Asian American (or Pacific Islander),Female,1
6336,70,1.9534883720930232,0.2225913621262458,-2.0,0.0,34,Caucasian (or White),Male,0
6337,100,0.8504983388704319,-0.9734219269102992,-1.0,0.0,21,Caucasian (or White),Male,0
6338,153,0.9966777408637872,0.4119601328903655,0.0,0.0,60,Caucasian (or White),Male,1
6339,180,0.0199335548172756,-0.2790697674418605,1.0,-1.0,59,Caucasian (or White),Female,1
6340,45,1.079734219269103,-1.0232558139534884,-1.0,1.0,65,Caucasian (or White),Female,1
6341,290,1.9601328903654485,-0.4883720930232558,1.0,0.0,31,Mixed race or ethnicity,Male,0
6342,39,-0.7740863787375414,0.9700996677740864,0.0,1.0,57,African American (or Black),Female,0
6343,42,-0.3388704318936879,-0.109634551495017,1.0,-1.0,61,Caucasian (or White),Female,0
6344,107,1.913621262458472,0.8837209302325584,1.0,0.0,55,Caucasian (or White),Female,1
6345,54,-1.591362126245847,1.4983388704318936,0.0,0.0,26,African American (or Black),Female,1
6346,170,-0.6245847176079731,0.9900332225913622,0.0,0.0,48,Caucasian (or White),Male,1
6347,59,0.2691029900332222,-0.0398671096345513,0.0,1.0,30,Asian American (or Pacific Islander),Male,0
6348,285,1.4285714285714284,-1.421926910299003,1.0,2.0,39,Caucasian (or White),Female,0
6349,125,0.5681063122923586,-0.0265780730897011,0.0,0.0,32,Caucasian (or White),Male,0
6350,97,-1.0764119601328903,0.9933554817275744,-2.0,1.0,26,Caucasian (or White),Male,1
6351,212,-1.3289036544850497,0.3754152823920265,-2.0,-1.0,55,Asian American (or Pacific Islander),Male,0
6352,81,1.5481727574750832,-0.0166112956810633,1.0,0.0,30,Caucasian (or White),Female,0
6353,56,1.611295681063123,-1.0066445182724255,0.0,-1.0,70,African American (or Black),Transgender,1
6354,139,0.7607973421926908,-0.691029900332226,-2.0,-2.0,71,Caucasian (or White),Male,0
6355,111,1.1129568106312289,-1.338870431893688,0.0,0.0,57,Asian American (or Pacific Islander),Female,0
6356,26,-0.6445182724252492,0.5813953488372094,-2.0,1.0,49,Caucasian (or White),Female,0
6357,127,-0.7607973421926912,-0.212624584717608,0.0,-2.0,65,Caucasian (or White),Female,0
6358,172,1.681063122923588,-0.7707641196013291,0.0,-1.0,49,Asian American (or Pacific Islander),Female,0
6359,109,-0.7641196013289036,0.3322259136212624,1.0,1.0,49,Caucasian (or White),Male,0
6360,203,0.6777408637873752,-0.3023255813953489,-1.0,1.0,57,Caucasian (or White),Male,1
6361,97,0.5049833887043191,1.2259136212624586,-2.0,-1.0,26,Caucasian (or White),Male,0
6362,98,-0.1196013289036543,0.4485049833887045,0.0,0.0,54,Caucasian (or White),Female,1
6363,170,0.5083056478405314,-0.8073089700996676,0.0,-2.0,48,Caucasian (or White),Male,1
6364,297,-0.7308970099667773,-0.2923588039867106,0.0,1.0,35,Asian American (or Pacific Islander),Female,1
6365,280,0.7740863787375414,-0.903654485049834,0.0,-1.0,53,Caucasian (or White),Female,1
6366,170,-0.6511627906976742,-0.0332225913621262,0.0,0.0,48,Caucasian (or White),Male,0
6367,50,0.2990033222591362,-0.0764119601328903,-1.0,0.0,45,Caucasian (or White),Male,1
6368,175,-0.5083056478405314,0.8073089700996676,0.0,-2.0,24,Caucasian (or White),Male,1
6369,89,-0.7109634551495017,1.1893687707641196,1.0,1.0,40,Caucasian (or White),Female,1
6370,141,0.0697674418604648,-0.2026578073089702,-1.0,0.0,60,Caucasian (or White),Female,1
6371,128,0.5249169435215948,-1.441860465116279,1.0,0.0,32,Caucasian (or White),Female,0
6372,28,0.0199335548172756,-0.5083056478405319,0.0,0.0,44,Caucasian (or White),Female,0
6373,122,0.8471760797342194,-0.3554817275747508,0.0,0.0,48,Caucasian (or White),Male,0
6374,168,1.611295681063123,-0.6677740863787376,0.0,-2.0,23,African American (or Black),Male,0
6375,135,1.893687707641196,-0.8704318936877078,0.0,0.0,54,Caucasian (or White),Male,0
6376,54,0.3421926910299002,-0.1461794019933555,0.0,0.0,26,African American (or Black),Female,1
6377,134,1.1727574750830565,0.0996677740863787,1.0,0.0,28,Caucasian (or White),Male,1
6378,187,-1.4451827242524915,0.1627906976744184,0.0,2.0,45,Caucasian (or White),Male,1
6379,180,1.7574750830564785,0.0996677740863787,1.0,0.0,59,Caucasian (or White),Female,0
6380,3,0.3754152823920265,-1.5647840531561463,0.0,-1.0,24,Mixed race or ethnicity,Female,0
6381,73,-0.116279069767442,-0.212624584717608,0.0,0.0,66,Caucasian (or White),Male,0
6382,70,-0.4551495016611295,-0.830564784053156,-2.0,0.0,34,Caucasian (or White),Male,0
6383,178,1.043189368770764,-1.1362126245847175,-1.0,-2.0,24,Caucasian (or White),Male,0
6384,248,-0.8571428571428572,1.0830564784053158,-1.0,0.0,25,Caucasian (or White),Male,1
6385,124,0.5813953488372094,0.5182724252491693,0.0,1.0,36,Caucasian (or White),Male,0
6386,278,-0.5149501661129565,0.691029900332226,-1.0,-1.0,55,Caucasian (or White),Male,1
6387,85,0.9734219269102988,-0.2624584717607972,1.0,0.0,38,Caucasian (or White),Male,0
6388,283,1.2325581395348837,-0.8338870431893688,-1.0,0.0,60,Caucasian (or White),Male,0
6389,168,0.0697674418604652,0.8936877076411962,0.0,0.0,23,African American (or Black),Male,1
6390,220,-0.5315614617940199,0.551495016611296,-1.0,-1.0,36,African American (or Black),Male,0
6391,69,2.0664451827242525,-0.558139534883721,-1.0,2.0,19,Asian American (or Pacific Islander),Male,0
6392,263,0.0564784053156146,-0.7574750830564785,2.0,1.0,69,Caucasian (or White),Female,1
6393,262,1.3322259136212624,-0.116279069767442,0.0,-2.0,19,Caucasian (or White),Male,1
6394,212,-1.9634551495016608,1.2159468438538208,-2.0,0.0,55,Asian American (or Pacific Islander),Male,1
6395,68,-0.764119601328904,-0.823920265780731,-2.0,0.0,60,Caucasian (or White),Female,0
6396,230,1.5880398671096343,-0.7009966777408638,-2.0,-1.0,46,Caucasian (or White),Female,0
6397,279,-0.59468438538206,-0.4053156146179399,1.0,-1.0,66,Caucasian (or White),Female,1
6398,135,0.7375415282392024,-0.8205980066445182,0.0,-1.0,54,Caucasian (or White),Male,0
6399,59,-1.1129568106312289,1.338870431893688,1.0,0.0,30,Asian American (or Pacific Islander),Male,1
6400,156,-0.2358803986710964,0.0897009966777409,2.0,1.0,69,Caucasian (or White),Female,0
6401,207,-0.6378737541528241,0.1993355481727574,0.0,1.0,66,Caucasian (or White),Male,0
6402,300,0.2225913621262458,-0.0299003322259139,1.0,0.0,72,Caucasian (or White),Male,1
6403,162,-1.0232558139534884,0.7375415282392028,-1.0,2.0,59,African American (or Black),Male,1
6404,90,0.4318936877076411,0.727574750830565,0.0,1.0,28,Caucasian (or White),Male,1
6405,279,1.2392026578073088,-0.1627906976744189,1.0,-1.0,66,Caucasian (or White),Female,1
6406,77,1.2093023255813953,-0.5282392026578071,1.0,2.0,43,Caucasian (or White),Female,1
6407,255,1.4485049833887045,-0.0099667774086378,1.0,0.0,46,Caucasian (or White),Female,0
6408,235,-1.0797342192691026,-0.963455149501661,2.0,2.0,66,Caucasian (or White),Male,0
6409,5,-0.1362126245847177,-0.308970099667774,0.0,-2.0,22,Caucasian (or White),Male,0
6410,20,1.5514950166112955,-0.9368770764119604,-2.0,2.0,30,Caucasian (or White),Female,0
6411,97,1.308970099667774,-0.8372093023255816,-2.0,-1.0,26,Caucasian (or White),Male,1
6412,172,-1.0398671096345518,-0.3853820598006647,1.0,0.0,49,Asian American (or Pacific Islander),Female,0
6413,32,0.2392026578073092,0.2425249169435215,1.0,0.0,29,Caucasian (or White),Female,1
6414,204,0.4584717607973423,0.7973421926910298,-2.0,0.0,46,Caucasian (or White),Male,1
6415,254,-0.3122923588039867,-0.7707641196013291,0.0,1.0,31,Caucasian (or White),Male,1
6416,260,-0.485049833887043,1.4285714285714284,-1.0,-1.0,38,Caucasian (or White),Female,1
6417,217,1.3289036544850497,-0.3754152823920265,1.0,1.0,61,Caucasian (or White),Male,1
6418,150,0.2059800664451825,0.6112956810631229,1.0,1.0,63,Caucasian (or White),Female,0
6419,4,1.1827242524916943,0.3289036544850501,-2.0,0.0,29,Caucasian (or White),Female,1
6420,258,-0.7740863787375414,0.8338870431893688,0.0,0.0,75,African,Male,1
6421,154,-0.7973421926910298,1.169435215946844,1.0,1.0,47,Caucasian (or White),Male,0
6422,106,-1.617940199335548,0.1129568106312293,-1.0,-1.0,77,Caucasian (or White),Male,0
6423,56,0.3554817275747508,-0.0664451827242524,0.0,-1.0,70,African American (or Black),Transgender,0
6424,171,1.697674418604651,-0.3621262458471759,2.0,2.0,62,Caucasian (or White),Male,0
6425,36,-1.5714285714285712,0.5415282392026581,2.0,0.0,49,Caucasian (or White),Female,1
6426,33,-1.2259136212624586,0.0631229235880401,0.0,1.0,30,Caucasian (or White),Male,0
6427,255,-0.5083056478405314,-0.3222591362126246,-1.0,-1.0,46,Caucasian (or White),Female,1
6428,24,0.9169435215946842,-1.1727574750830567,0.0,-1.0,27,African American (or Black),Female,0
6429,115,-0.5282392026578075,-1.0265780730897012,1.0,-1.0,46,Caucasian (or White),Male,0
6430,253,-0.6212624584717608,1.461794019933555,1.0,1.0,44,Asian American (or Pacific Islander),Male,1
6431,124,-1.3554817275747508,1.116279069767442,1.0,1.0,36,Caucasian (or White),Male,1
6432,116,-1.3388704318936877,0.8504983388704317,2.0,0.0,46,Caucasian (or White),Female,1
6433,257,-0.2990033222591362,-0.5182724252491697,1.0,0.0,73,Native American (or American Indian),Male,0
6434,138,-0.4850498338870432,0.3853820598006647,-1.0,0.0,65,Caucasian (or White),Female,0
6435,88,0.830564784053156,-0.5647840531561461,-1.0,-1.0,42,Caucasian (or White),Female,0
6436,116,-0.5714285714285714,0.1096345514950165,1.0,0.0,46,Caucasian (or White),Female,0
6437,260,-1.3222591362126246,0.558139534883721,1.0,1.0,38,Caucasian (or White),Female,0
6438,270,0.2159468438538205,-0.043189368770764,0.0,0.0,60,Caucasian (or White),Male,1
6439,283,-0.4651162790697674,0.4019933554817272,-1.0,0.0,60,Caucasian (or White),Male,0
6440,104,0.4053156146179399,-0.2093023255813957,1.0,1.0,64,Caucasian (or White),Female,0
6441,250,-1.704318936877076,0.5647840531561461,-1.0,0.0,24,African American (or Black),Male,0
6442,177,0.4883720930232558,0.0631229235880397,-2.0,0.0,60,Caucasian (or White),Male,1
6443,152,0.8471760797342194,-0.3554817275747508,2.0,0.0,58,Caucasian (or White),Female,0
6444,18,0.691029900332226,1.1727574750830567,0.0,0.0,44,Caucasian (or White),Female,1
6445,166,-0.9269102990033222,-0.1362126245847177,0.0,0.0,66,Caucasian (or White),Female,0
6446,254,-0.9933554817275748,1.4916943521594686,1.0,0.0,31,Caucasian (or White),Male,0
6447,209,-0.6279069767441858,0.5182724252491693,0.0,0.0,25,African American (or Black),Male,0
6448,117,-0.7607973421926908,-0.0531561461794019,0.0,0.0,41,Asian American (or Pacific Islander),Female,0
6449,153,1.1794019933554816,-1.8604651162790695,0.0,0.0,60,Caucasian (or White),Male,0
6450,131,-0.0033222591362127,-0.4717607973421929,-2.0,-1.0,48,Caucasian (or White),Female,1
6451,221,-1.4152823920265778,-0.0830564784053158,-1.0,0.0,31,Caucasian (or White),Male,0
6452,193,0.7142857142857144,1.1926910299003322,0.0,-1.0,31,Caucasian (or White),Gender queer/Gender nonconforming,1
6453,114,-1.016611295681063,1.4119601328903657,1.0,1.0,55,African American (or Black),Female,0
6454,121,1.617940199335548,-0.7940199335548175,0.0,0.0,49,Caucasian (or White),Female,1
6455,142,-1.5348837209302326,0.2026578073089702,1.0,2.0,20,Hispanic American (or Latino),Female,0
6456,86,-2.016611295681063,0.6877076411960132,-1.0,-1.0,53,Caucasian (or White),Female,1
6457,9,1.219269102990033,-0.691029900332226,1.0,1.0,37,Caucasian (or White),Female,0
6458,178,-0.5016611295681062,0.2059800664451829,-1.0,-1.0,24,Caucasian (or White),Male,1
6459,121,-0.152823920265781,-1.229235880398671,0.0,0.0,49,Caucasian (or White),Female,0
6460,31,-0.1794019933554818,-0.1627906976744189,1.0,1.0,25,Caucasian (or White),Female,0
6461,47,0.7607973421926908,0.3488372093023257,0.0,0.0,54,Caucasian (or White),Female,1
6462,16,-1.4584717607973423,0.249169435215947,-2.0,1.0,32,African American (or Black),Male,0
6463,260,1.1428571428571428,0.7209302325581399,0.0,0.0,38,Caucasian (or White),Female,1
6464,239,-0.1993355481727574,-0.2757475083056477,1.0,1.0,58,Caucasian (or White),Male,0
6465,185,-0.4285714285714288,-0.1694352159468439,0.0,0.0,41,Caucasian (or White),Male,0
6466,44,1.1129568106312289,-1.338870431893688,-1.0,-1.0,55,Caucasian (or White),Male,0
6467,169,-0.7009966777408638,-0.3787375415282392,1.0,1.0,49,African American (or Black),Male,0
6468,256,1.4485049833887045,-0.8770764119601329,1.0,1.0,59,Hispanic American (or Latino),Female,1
6469,268,-0.1694352159468439,0.2757475083056477,0.0,-2.0,54,Caucasian (or White),Female,1
6470,16,0.073089700996678,-0.1461794019933555,-1.0,1.0,32,African American (or Black),Male,1
6471,85,-0.0166112956810629,-0.0265780730897007,1.0,-1.0,38,Caucasian (or White),Male,0
6472,123,1.255813953488372,-1.036544850498339,2.0,1.0,54,Caucasian (or White),Female,0
6473,92,0.106312292358804,-0.3588039867109636,-2.0,2.0,64,Caucasian (or White),Female,1
6474,220,0.6079734219269102,-1.016611295681063,-1.0,-1.0,36,African American (or Black),Male,1
6475,64,-1.691029900332226,-0.5813953488372094,-1.0,0.0,21,Asian American (or Pacific Islander),Male,0
6476,211,1.112956810631229,-0.0465116279069768,0.0,0.0,26,Caucasian (or White),Female,0
6477,9,-0.3720930232558141,0.0465116279069768,1.0,1.0,37,Caucasian (or White),Female,1
6478,45,0.2524916943521593,0.1794019933554818,0.0,0.0,65,Caucasian (or White),Female,0
6479,212,1.7209302325581397,-0.7740863787375414,-2.0,0.0,55,Asian American (or Pacific Islander),Male,0
6480,177,0.1063122923588038,-0.0531561461794019,-2.0,1.0,60,Caucasian (or White),Male,0
6481,141,0.757475083056478,-0.7607973421926912,0.0,0.0,60,Caucasian (or White),Female,0
6482,130,0.8073089700996678,-1.3056478405315612,-1.0,1.0,58,African American (or Black),Female,1
6483,239,-1.9634551495016608,1.2159468438538208,1.0,1.0,58,Caucasian (or White),Male,1
6484,73,-1.8006644518272426,0.0830564784053153,0.0,0.0,66,Caucasian (or White),Male,0
6485,286,-1.169435215946844,-0.6146179401993352,0.0,0.0,64,Caucasian (or White),Male,0
6486,56,0.2624584717607972,1.0033222591362128,0.0,-1.0,70,African American (or Black),Transgender,0
6487,241,1.893687707641196,-0.6677740863787376,1.0,1.0,64,African American (or Black),Female,1
6488,195,-1.8770764119601329,0.3488372093023257,1.0,0.0,71,Caucasian (or White),Female,1
6489,245,-1.2093023255813953,0.5016611295681059,-1.0,-1.0,53,African American (or Black),Male,0
6490,32,-0.8073089700996678,1.3056478405315612,1.0,0.0,29,Caucasian (or White),Female,1
6491,47,0.0564784053156146,0.1993355481727574,0.0,0.0,54,Caucasian (or White),Female,1
6492,177,0.8671096345514948,-1.0863787375415286,-2.0,0.0,60,Caucasian (or White),Male,0
6493,142,1.0132890365448506,0.9734219269102992,2.0,1.0,20,Hispanic American (or Latino),Female,0
6494,240,1.913621262458472,0.8837209302325584,1.0,1.0,54,Caucasian (or White),Male,1
6495,68,-0.1926910299003323,0.1727574750830567,-2.0,0.0,60,Caucasian (or White),Female,1
6496,242,-1.1960132890365447,1.1827242524916943,-2.0,0.0,22,African American (or Black),Transgender,1
6497,191,-0.6843853820598009,0.5116279069767442,-1.0,-1.0,70,Native American (or American Indian),Male,0
6498,197,-1.0232558139534884,1.4717607973421925,0.0,0.0,53,Caucasian (or White),Male,1
6499,260,0.9435215946843852,0.8139534883720929,0.0,0.0,38,Caucasian (or White),Female,0
6500,244,0.3255813953488373,0.6777408637873754,0.0,-2.0,18,Caucasian (or White),Male,0
6501,211,-0.2823920265780733,-1.2724252491694354,1.0,1.0,26,Caucasian (or White),Female,0
6502,190,-0.2259136212624586,-0.3621262458471759,1.0,0.0,64,Caucasian (or White),Female,1
6503,68,-0.9900332225913622,1.1428571428571432,-2.0,0.0,60,Caucasian (or White),Female,0
6504,67,-0.7342192691029901,-0.0996677740863787,-2.0,2.0,57,Caucasian (or White),Female,0
6505,142,1.8272425249169435,-0.7607973421926908,2.0,1.0,20,Hispanic American (or Latino),Female,0
6506,249,0.3255813953488373,0.6578073089700998,-2.0,-1.0,52,African American (or Black),Male,1
6507,104,-0.0664451827242524,-0.2325581395348837,1.0,1.0,64,Caucasian (or White),Female,1
6508,290,1.2259136212624586,-0.5083056478405319,0.0,1.0,31,Mixed race or ethnicity,Male,1
6509,23,-0.6511627906976742,1.3355481727574752,-2.0,0.0,21,Caucasian (or White),Female,1
6510,97,0.1096345514950165,-0.6644518272425248,-2.0,-1.0,26,Caucasian (or White),Male,1
6511,274,0.9933554817275748,-0.0631229235880401,0.0,-1.0,58,Caucasian (or White),Female,0
6512,253,0.7840531561461792,-0.1926910299003323,1.0,1.0,44,Asian American (or Pacific Islander),Male,1
6513,22,1.7740863787375414,0.2823920265780733,1.0,1.0,25,African American (or Black),Male,1
6514,52,0.3554817275747508,0.7308970099667773,0.0,-1.0,23,Caucasian (or White),Female,1
6515,147,-1.016611295681063,1.4119601328903657,-2.0,-2.0,36,African American (or Black),Female,0
6516,117,-1.6877076411960132,1.46843853820598,0.0,1.0,41,Asian American (or Pacific Islander),Female,0
6517,175,-0.9933554817275748,1.4916943521594686,0.0,-2.0,24,Caucasian (or White),Male,1
6518,225,-0.7840531561461797,-0.315614617940199,0.0,-1.0,60,Caucasian (or White),Male,1
6519,182,-1.302325581395349,-0.0564784053156146,1.0,1.0,43,Caucasian (or White),Male,1
6520,234,-0.0830564784053153,1.2192691029900335,1.0,0.0,48,Caucasian (or White),Male,1
6521,108,-0.6079734219269104,0.4651162790697674,-1.0,-1.0,30,Caucasian (or White),Female,1
6522,121,-0.7840531561461797,-0.315614617940199,0.0,0.0,49,Caucasian (or White),Female,0
6523,8,0.3421926910299002,-1.9534883720930236,-2.0,-2.0,28,Asian American (or Pacific Islander),Female,0
6524,243,0.6112956810631229,-0.9700996677740864,2.0,2.0,63,Caucasian (or White),Female,1
6525,202,-0.9435215946843852,-0.079734219269103,0.0,1.0,25,Mixed race or ethnicity,Female,0
6526,24,-0.3754152823920265,1.5647840531561463,0.0,-1.0,27,African American (or Black),Female,1
6527,136,0.6877076411960132,0.0166112956810629,-1.0,0.0,57,African American (or Black),Female,1
6528,175,0.8471760797342194,-0.3554817275747508,0.0,-2.0,24,Caucasian (or White),Male,0
6529,49,-0.4019933554817276,0.1395348837209304,2.0,2.0,46,Caucasian (or White),Female,0
6530,208,-1.3421926910299002,1.6511627906976745,-1.0,-1.0,28,Asian American (or Pacific Islander),Male,0
6531,237,-1.5348837209302326,0.2026578073089702,2.0,2.0,61,Caucasian (or White),Male,1
6532,151,-1.7873754152823915,1.382059800664452,-1.0,-2.0,24,Caucasian (or White),Male,1
6533,199,0.7275747508305646,-0.4019933554817276,0.0,0.0,55,Caucasian (or White),Male,0
6534,89,-0.7009966777408638,0.8504983388704317,1.0,1.0,40,Caucasian (or White),Female,1
6535,125,-1.3554817275747508,0.3156146179401995,0.0,0.0,32,Caucasian (or White),Male,0
6536,202,2.0963455149501664,-0.1794019933554818,1.0,1.0,25,Mixed race or ethnicity,Female,0
6537,50,-1.219269102990033,-0.1063122923588038,-1.0,0.0,45,Caucasian (or White),Male,0
6538,8,-1.1627906976744184,0.9435215946843852,-2.0,-1.0,28,Asian American (or Pacific Islander),Female,1
6539,99,1.292358803986711,-0.1262458471760799,2.0,2.0,56,Asian American (or Pacific Islander),Male,1
6540,38,0.2026578073089702,0.7209302325581395,-2.0,-2.0,69,African American (or Black),Female,0
6541,53,0.4950166112956808,-0.1827242524916941,1.0,0.0,60,Asian American (or Pacific Islander),Female,0
6542,116,-0.9900332225913622,1.0465116279069764,1.0,0.0,46,Caucasian (or White),Female,0
6543,150,2.016611295681063,-0.6877076411960132,1.0,1.0,63,Caucasian (or White),Female,1
6544,154,-0.8272425249169433,1.435215946843854,2.0,2.0,47,Caucasian (or White),Male,0
6545,13,-0.6511627906976742,1.3355481727574752,0.0,0.0,33,Caucasian (or White),Female,0
6546,22,-0.7275747508305646,0.4019933554817276,1.0,1.0,25,African American (or Black),Male,1
6547,281,-1.3554817275747508,0.8372093023255816,-1.0,-1.0,35,African American (or Black),Female,0
6548,153,0.8372093023255813,0.0930232558139536,0.0,0.0,60,Caucasian (or White),Male,0
6549,175,1.647840531561462,0.2657807308970099,0.0,-2.0,24,Caucasian (or White),Male,1
6550,205,-1.0332225913621262,0.5714285714285716,-1.0,-1.0,84,Caucasian (or White),Male,0
6551,294,-1.9069767441860463,0.2059800664451829,-2.0,-1.0,28,Asian American (or Pacific Islander),Male,0
6552,270,-1.0265780730897012,0.1926910299003319,1.0,0.0,60,Caucasian (or White),Male,1
6553,226,0.7973421926910302,1.096345514950166,-1.0,-1.0,37,Caucasian (or White),Female,1
6554,240,0.2259136212624586,0.4784053156146179,-1.0,2.0,54,Caucasian (or White),Male,0
6555,115,1.0697674418604652,0.581395348837209,1.0,-1.0,46,Caucasian (or White),Male,1
6556,239,0.0697674418604652,-0.6345514950166113,1.0,1.0,58,Caucasian (or White),Male,0
6557,27,-0.7973421926910302,-1.096345514950166,0.0,0.0,27,Caucasian (or White),Male,0
6558,31,0.2159468438538205,-0.043189368770764,1.0,0.0,25,Caucasian (or White),Female,1
6559,215,0.2093023255813952,-0.1827242524916945,-1.0,-1.0,42,African American (or Black),Female,1
6560,267,0.9933554817275748,-1.4916943521594686,-1.0,-1.0,29,Asian American (or Pacific Islander),Female,1
6561,266,0.0132890365448501,-0.5847176079734222,0.0,0.0,60,Caucasian (or White),Female,1
6562,223,-0.6777408637873754,1.730897009966777,0.0,0.0,40,Caucasian (or White),Male,1
6563,230,-0.0033222591362127,-0.6112956810631229,-2.0,-1.0,46,Caucasian (or White),Female,0
6564,38,-1.2093023255813953,0.5016611295681059,-2.0,-2.0,69,African American (or Black),Female,0
6565,225,1.9601328903654485,-0.4883720930232558,0.0,0.0,60,Caucasian (or White),Male,0
6566,286,-1.5880398671096343,0.7009966777408638,0.0,0.0,64,Caucasian (or White),Male,1
6567,277,1.3853820598006643,-0.2259136212624586,-2.0,0.0,36,African American (or Black),Male,0
6568,261,1.2392026578073088,-0.9601328903654488,0.0,0.0,40,Caucasian (or White),Female,0
6569,74,-1.3920265780730898,0.4617940199335546,0.0,1.0,39,Caucasian (or White),Female,1
6570,23,1.1029900332225917,-0.4950166112956813,-2.0,0.0,21,Caucasian (or White),Female,0
6571,215,-0.0166112956810633,-0.6611295681063125,-1.0,-1.0,42,African American (or Black),Female,1
6572,257,-0.7740863787375414,0.9700996677740864,1.0,0.0,73,Native American (or American Indian),Male,0
6573,251,-1.6544850498338868,0.2657807308970099,1.0,0.0,56,Caucasian (or White),Female,1
6574,43,-0.3787375415282392,0.1727574750830567,1.0,1.0,38,Caucasian (or White),Female,1
6575,80,-0.0631229235880397,0.9102990033222592,-1.0,0.0,40,African American (or Black),Male,0
6576,181,0.7840531561461792,-0.8405315614617943,-1.0,-2.0,28,Caucasian (or White),Male,0
6577,138,1.6744186046511629,-1.3189368770764118,-2.0,1.0,65,Caucasian (or White),Female,1
6578,185,-0.0697674418604652,-0.0598006644518269,0.0,0.0,41,Caucasian (or White),Male,1
6579,53,-0.6744186046511629,0.043189368770764,0.0,0.0,60,Asian American (or Pacific Islander),Female,1
6580,297,-0.2026578073089702,1.654485049833887,1.0,1.0,35,Asian American (or Pacific Islander),Female,1
6581,296,0.9767441860465116,0.3056478405315612,-1.0,1.0,27,African American (or Black),Male,0
6582,165,-0.0498338870431891,0.073089700996678,0.0,0.0,34,Asian American (or Pacific Islander),Male,0
6583,79,1.4219269102990033,0.1063122923588038,1.0,1.0,29,Caucasian (or White),Male,1
6584,1,1.787375415282392,-0.4019933554817276,0.0,-1.0,51,African American (or Black),Female,0
6585,161,1.212624584717608,0.079734219269103,2.0,0.0,36,African American (or Black),Male,1
6586,117,1.2159468438538203,-0.654485049833887,0.0,0.0,41,Asian American (or Pacific Islander),Female,1
6587,121,-0.8637873754152823,0.6245847176079735,0.0,0.0,49,Caucasian (or White),Female,0
6588,285,-0.8438538205980066,-0.0598006644518274,1.0,1.0,39,Caucasian (or White),Female,1
6589,98,1.7242524916943522,0.7906976744186047,0.0,0.0,54,Caucasian (or White),Female,0
6590,82,-0.6445182724252492,0.5813953488372094,-1.0,-2.0,57,Asian American (or Pacific Islander),Male,1
6591,157,-0.0199335548172756,0.5083056478405319,-1.0,-1.0,68,Caucasian (or White),Female,0
6592,209,0.9435215946843852,-0.6212624584717608,2.0,2.0,25,African American (or Black),Male,0
6593,205,0.1196013289036548,-0.4352159468438534,-1.0,0.0,84,Caucasian (or White),Male,1
